Date,Particulate_Matter,Ozon,Nitrogen_Dioxide,Sulfur_Dioxide, co, aqi
2024/3/1,73,4,1, , , 
2024/3/2,119,4,1,4, , 
2024/3/3,141,2,1,3, , 
2024/3/4,151,6,1,4, , 
2024/3/5,192,5,1,4, , 
2024/3/6,176,4, ,3, , 
2024/3/7,151,2, ,4, , 
2024/3/8,172,2, ,4, , 
2024/3/9,160,2, , , , 
2024/3/10,99,3, ,4, , 
2024/3/11,99,3, ,4, , 
2024/3/12,154,3, ,4, , 
2024/3/13,125,2, ,4, , 
2024/3/14,108,2, ,4, , 
2024/3/15,115,3, ,4, , 
2024/3/16,106,3, , , , 
2024/3/17,118,3, ,3, , 
2024/3/18,93,6, ,3, , 
2024/3/19,85,3, ,3, , 
2024/3/20,81, , , , , 
2024/2/1,167,2,11,4, , 
2024/2/2,150,4,10,4, , 
2024/2/3,88,2,8,3, , 
2024/2/4,95,3,7,3, , 
2024/2/5,108,2,4,3, , 
2024/2/6,116,2, ,4, , 
2024/2/7,108,4, ,4, , 
2024/2/8,85,6, ,3, , 
2024/2/9,98,7,3,3, , 
2024/2/10,157,6,4,3, , 
2024/2/11,125,6,4, , , 
2024/2/12,129,5,2, , , 
2024/2/13,110,5,2,3, , 
2024/2/14,100,3,3,3, , 
2024/2/15,113,4,2,4, , 
2024/2/16,138,4,1, , , 
2024/2/17,109,3,1,3, , 
2024/2/18,101,2,1,3, , 
2024/2/19,95,2,1,3, , 
2024/2/20,118,2,1,3, , 
2024/2/21,114,2,1,3, , 
2024/2/22,85,2,1,3, , 
2024/2/23,122,2,1,4, , 
2024/2/24,68,2,1,4, , 
2024/2/25,69,2,1,4, , 
2024/2/26,96,2,1, , , 
2024/2/27,69,2,1, , , 
2024/2/28,117,3,1, , , 
2024/2/29,73,4,1, , , 
2024/1/2,116,5,12,11, , 
2024/1/3,102,4,9,11, , 
2024/1/4,140,2,14,12, , 
2024/1/5,155,4,15,12, , 
2024/1/6,127,5,12,11, , 
2024/1/7,116,5,12,11, , 
2024/1/8,118,5,10,11, , 
2024/1/9,97,3,11,11, , 
2024/1/10,90,2,10,11, , 
2024/1/11,75,2,7,11, , 
2024/1/12,67,2,6,7, , 
2024/1/13,103,2,8,4, , 
2024/1/14,137,2,9,4, , 
2024/1/15,125,2,11,4, , 
2024/1/16,109,2,13,4, , 
2024/1/17,106,2,12,4, , 
2024/1/18,84, , , , , 
2024/1/19,89, , , , , 
2024/1/20,99, , , , , 
2024/1/21,91, , , , , 
2024/1/22,61, , , , , 
2024/1/23,77, , , , , 
2024/1/24,96,3,6,3, , 
2024/1/25,126,4,6,3, , 
2024/1/26,144,3,6,3, , 
2024/1/27,137,3,5, , , 
2024/1/28,109,4,5,4, , 
2024/1/29,139,4,7, , , 
2024/1/30,164,2,10,4, , 
2024/1/31,171,2,11,4, , 
2023/10/1,108,2,13,10, , 
2023/10/2,98,4,13,10, , 
2023/10/3,121,4,13,10, , 
2023/10/4,118,3,11,10, , 
2023/10/5,110,2,10,10, , 
2023/10/6,101,2,8,10, , 
2023/10/7,89,8,8,9, , 
2023/10/8,77,7,9,9, , 
2023/10/9,87,7,9,9, , 
2023/10/10,87,7,9,9, , 
2023/10/11,93,4,8,9, , 
2023/10/12,90,6,10,10, , 
2023/10/13,122,6,8,10, , 
2023/10/14,124,7,7,9, , 
2023/10/15,88,9,12,10, , 
2023/10/16,136,14,13,10, , 
2023/10/17,148,9,15,10, , 
2023/10/18,153,7,11,11, , 
2023/10/19,137,6,8,10, , 
2023/10/20,98,8,10,10, , 
2023/10/21,93,9,11,10, , 
2023/10/22,108,6,12,10, , 
2023/10/23,134,5,14,10, , 
2023/10/24,144,6,13,11, , 
2023/10/25,161,4,16,11, , 
2023/10/26,127,5,17,11, , 
2023/10/27,167,3,9,11, , 
2023/10/28,103,3,7,10, , 
2023/10/29,96,4,12,10, , 
2023/10/30,88,8,13,15, , 
2023/10/31,134,9,12,12, , 
2023/11/1,147,9,16,13, , 
2023/11/2,159,5,12,14, , 
2023/11/3,122,2,9,12, , 
2023/11/4,89,2,8,12, , 
2023/11/5,92,2,11,12, , 
2023/11/6,90,2,8,15, , 
2023/11/7,72,8,11,15, , 
2023/12/8,143,5,15,12, , 
2023/12/9,152,3,10,11, , 
2023/12/10,122,2,13,12, , 
2023/12/11,118,2,14,12, , 
2023/12/12,106,4,12,11, , 
2023/12/13,121,3,11,11, , 
2023/12/14,122,2,12,11, , 
2023/12/15,110,2,9,11, , 
2023/12/16,96,3,6,11, , 
2023/12/17,94,2,8,12, , 
2023/12/18,136,3,5,11, , 
2023/12/19,67,5,6,11, , 
2023/12/20,97,5,10,11, , 
2023/12/21,115,8,10,11, , 
2023/12/22,132,10,13,11, , 
2023/12/23,152,9,7,11, , 
2023/12/24,157, , , , , 
2023/12/25,146, , , , , 
2023/12/26,184,2,17,12, , 
2023/12/27,238,12,16,12, , 
2023/7/1,85, ,9,9, , 
2023/7/2,77, ,13,9, , 
2023/7/3,67, ,10,9, , 
2023/7/4,82, ,12,9, , 
2023/7/5,79, ,8,9, , 
2023/7/6,43, ,9,10, , 
2023/7/7,12, ,8,9, , 
2023/7/8,11, ,11,9, , 
2023/7/9,10, ,12,9, , 
2023/7/10,46,6,12,9, , 
2023/7/11,74,4,13,9, , 
2023/7/12,65,6,14,9, , 
2023/7/13,92,4,11,9, , 
2023/7/14,73,5,12,9, , 
2023/7/15,90,8,12,9, , 
2023/7/16,107,10,13,9, , 
2023/7/17,122,7,10,9, , 
2023/7/18,97,4,14,9, , 
2023/7/19,94,3,12,9, , 
2023/7/20,118,3,11,9, , 
2023/7/21,106,2,10,9, , 
2023/7/22,76,2,8,9, , 
2023/7/23,63,2,11,9, , 
2023/7/24,64,2,11,9, , 
2023/7/25,62,5,12,9, , 
2023/7/26,72,7,13,9, , 
2023/7/27,94,4,13,9, , 
2023/7/28,94,7,11,9, , 
2023/7/29,105,3,12,9, , 
2023/7/30,97,2,13,9, , 
2023/7/31,80,3,13,9, , 
2023/8/1,74,2,12,9, , 
2023/8/2,102,3,9,9, , 
2023/8/3,89,2,11,9, , 
2023/8/4,70,2,10,9, , 
2023/8/5,63,2,11,9, , 
2023/8/6,65,2,12,9, , 
2023/8/7,63,2,13,9, , 
2023/8/8,66,3,11,9, , 
2023/8/9,91,2,13,10, , 
2023/8/10,112,2,14,10, , 
2023/8/11,127,2,12,10, , 
2023/8/12,105,4,10,9, , 
2023/8/13,113,4,14,9, , 
2023/8/14,72,4,13,9, , 
2023/8/15,90,2,16,9, , 
2023/8/16,113,5,13,10, , 
2023/8/17,107,4,12,9, , 
2023/8/18,96,2,17,10, , 
2023/8/19,128,2,12,9, , 
2023/8/20,91,2,15,10, , 
2023/8/21,84,3,14,10, , 
2023/8/22,91,6,12,9, , 
2023/8/23,89,3,13,9, , 
2023/8/24,98,3,11,9, , 
2023/8/25,96,3,12,10, , 
2023/8/26,83,4,12,10, , 
2023/8/27,97,3,10,10, , 
2023/8/28,69,3,9,9, , 
2023/8/29,82,7,9,9, , 
2023/8/30,86,10,13,9, , 
2023/8/31,120,9,11,9, , 
2023/9/1,133,9,10,9, , 
2023/9/2,121,6,10,10, , 
2023/9/3,103,3,8,9, , 
2023/9/4,67,3,11,9, , 
2023/9/5,82,4,11,10, , 
2023/9/6,124,7,9,9, , 
2023/9/7,125,5,8,9, , 
2023/9/8,85,4,10,9, , 
2023/9/9,104,4,9,9, , 
2023/9/10,124,4,12,9, , 
2023/9/11,124,2,14,9, , 
2023/9/12,128,3,7,9, , 
2023/9/13,68,3,6,9, , 
2023/9/14,56,3,8,9, , 
2023/9/15,74,3,10,9, , 
2023/9/16,97,2,11,9, , 
2023/9/17,109,2,13,9, , 
2023/9/18,88,2,11,9, , 
2023/9/19,69,2,9,9, , 
2023/9/20,75,2,9,9, , 
2023/9/21,75,2,10,9, , 
2023/9/22,75,2,11,10, , 
2023/9/23,77,2,12,9, , 
2023/9/24,91,3,10,10, , 
2023/9/25,112,2,9,10, , 
2023/9/26,109,2,8,9, , 
2023/9/27,72,2,9,10, , 
2023/9/28,74,2,11,10, , 
2023/9/29,114,3,9,10, , 
2023/9/30,138,2,11,10, , 
2023/4/1,125,3,11,9, , 
2023/4/2,94,4,11,9, , 
2023/4/3,94,4,13,9, , 
2023/4/4,126,4,13,9, , 
2023/4/5,139,5,12,9, , 
2023/4/6,135,4,14,8, , 
2023/4/7,128,6,10,8, , 
2023/4/8,132,3,12,9, , 
2023/4/9,144,2,14,9, , 
2023/4/10,153,2,14,9, , 
2023/4/11,142,3,14,9, , 
2023/4/12,121,3,12,8, , 
2023/4/13,90,4,14,9, , 
2023/4/14,102,4,13,9, , 
2023/4/15,133,3,15,8, , 
2023/4/16,137,4,11,8, , 
2023/4/17,140,5,10,8, , 
2023/4/18,119,7,12,8, , 
2023/4/19,144,7,17,9, , 
2023/4/20,146,7,17,9, , 
2023/4/21,153,7,10,8, , 
2023/4/22,141,7,9,8, , 
2023/4/23,126,7,9,8, , 
2023/4/24,103,6,11,8, , 
2023/4/25,73,4,13,8, , 
2023/4/26,100,5,14,9, , 
2023/4/27,115,4,9,9, , 
2023/4/28,90,4,11,9, , 
2023/4/29,79,4,11,9, , 
2023/4/30,96,9,11,8, , 
2023/5/1,130,6,9,9, , 
2023/5/2,103,5,6,8, , 
2023/5/3,80,8,7,8, , 
2023/5/4,91,9,11,9, , 
2023/5/5,109,12,10,9, , 
2023/5/6,132,10,9,9, , 
2023/5/7,118,28,12,9, , 
2023/5/8,83,10,13,9, , 
2023/5/9,105,13,11,9, , 
2023/5/10,82,24,14,9, , 
2023/5/11,66,5,11,9, , 
2023/5/12,73,7,8,9, , 
2023/5/13,76,7,11,9, , 
2023/5/14,82,13,12,9, , 
2023/5/15,90,14,10,9, , 
2023/5/16,97,15,12,9, , 
2023/5/17,123,14,10,9, , 
2023/5/18,143,15,19,9, , 
2023/5/19,138,41,10,9, , 
2023/5/20,132,41,9,9, , 
2023/5/22,148,41,12,9, , 
2023/5/23,124,30,9,9, , 
2023/5/24,124,21,15,9, , 
2023/5/25,78,18,11,9, , 
2023/5/26,83,24,9,9, , 
2023/5/27,72,22,7,9, , 
2023/5/28,66,31,14,9, , 
2023/5/29,88,20,14,9, , 
2023/5/30,88,16,12,9, , 
2023/5/31,123,32,10,9, , 
2023/6/1,104,37,14,9, , 
2023/6/2,109,13,11,9, , 
2023/6/3,89,14,13,9, , 
2023/6/4,104,11,14,9, , 
2023/6/5,106,14,9,9, , 
2023/6/6,101,24,10,9, , 
2023/6/7,111,16,13,9, , 
2023/6/8,128,10,10,9, , 
2023/6/9,71,9,14,9, , 
2023/6/10,118,11,8,9, , 
2023/6/11,136,8,13,9, , 
2023/6/12,120,10,9,9, , 
2023/6/13,88,6,8,9, , 
2023/6/14,75,16,11,9, , 
2023/6/15,69,57,15,9, , 
2023/6/16,85, ,10,9, , 
2023/6/17,72, ,9,9, , 
2023/6/18,65, ,12,9, , 
2023/6/19,80,8,13,9, , 
2023/6/20,72,52,13,9, , 
2023/6/22,114,5,9,9, , 
2023/6/23,64, ,10,9, , 
2023/6/24,68, ,9,9, , 
2023/6/25,61, ,12,9, , 
2023/6/26,75, ,12,9, , 
2023/6/27,70, ,8,9, , 
2023/6/28,59, ,7,9, , 
2023/6/29,65, ,11,9, , 
2023/6/30,76, ,11,9, , 
2023/1/2,167,1,13, , , 
2023/1/3,150,1,16,9, , 
2023/1/4,172,1,13,9, , 
2023/1/5,157,3,9, , , 
2023/1/6,133,3,16,9, , 
2023/1/7,156,4,19,9, , 
2023/1/8,182,4,17,9, , 
2023/1/9,184, ,13,9, , 
2023/1/10,185, ,9,9, , 
2023/1/11,152, ,9,9, , 
2023/1/12,105, ,10,9, , 
2023/1/13,118,4,10,9, , 
2023/1/14,154,1,7,9, , 
2023/1/15,125,2,6,8, , 
2023/1/16,96,2,3,9, , 
2023/1/17,137,3,3,9, , 
2023/1/18,141,2,4,9, , 
2023/1/19,168,2,4,9, , 
2023/1/20,179,6,6,9, , 
2023/1/21,193,3,6,9, , 
2023/1/22,189,1,7,9, , 
2023/1/23,158,4,4,8, , 
2023/1/24,105,4,6, , , 
2023/1/25,150,2,3,9, , 
2023/1/26,160,3,4,9, , 
2023/1/27,148,5,5,9, , 
2023/1/28,143,6,7,9, , 
2023/1/29,163,5,12,9, , 
2023/1/30,181,2,16,9, , 
2023/1/31,156,2,15,9, , 
2023/2/1,148, ,12,9, , 
2023/2/2,151, , , , , 
2023/2/3,106, , , , , 
2023/2/4,99, , , , , 
2023/2/5,78, , , , , 
2023/2/6,87, , , , , 
2023/2/7,81, , , , , 
2023/2/8,72, , , , , 
2023/2/9,78,2,10,10, , 
2023/2/10,86,2,7,10, , 
2023/2/11,99,2,9,9, , 
2023/2/12,116,2,13,9, , 
2023/2/13,114,2,10,9, , 
2023/2/14,108,4,10,10, , 
2023/2/15,120,4,12,10, , 
2023/2/16,152,3,18,10, , 
2023/2/17,170,2,19,10, , 
2023/2/18,135,2,11,10, , 
2023/2/19,153,7,13,10, , 
2023/2/20,139,4,21,10, , 
2023/2/21,154,5,17,10, , 
2023/2/22,115,3,18,10, , 
2023/2/23,118, , , , , 
2023/2/24,112,8,14,10, , 
2023/2/25,99,10,14,10, , 
2023/2/26,145,8,19,10, , 
2023/2/27,160,5,20,10, , 
2023/2/28,151,2,17,10, , 
2023/3/1,153,10,17,11, , 
2023/3/2,180,6,20,9, , 
2023/3/3,172, ,11,8, , 
2023/3/4,150, ,14,8, , 
2023/3/5,169,7,17,8, , 
2023/3/6,158,7,14,8, , 
2023/3/7,121,5,17,8, , 
2023/3/8,133,7,13,8, , 
2023/3/9,165,4,14,8, , 
2023/3/10,164,2,15,8, , 
2023/3/11,144,6,15,9, , 
2023/3/12,148,7,7,8, , 
2023/3/13,119,8,12,8, , 
2023/3/14,153,4,16,9, , 
2023/3/15,148,4,11,9, , 
2023/3/16,94,3,11,9, , 
2023/3/20,114,3,13,9, , 
2023/3/21,124,6,13,8, , 
2023/3/22,157,5,14,8, , 
